id,planet_radius,planet_type,discovery_Method,planet_mass,discovery_date,orbital_radius,orbital_period,eccentricity
3280,0.223 x Jupiter,Neptune-like,Transit,6.8 Earths,2014,0.305 AU,77.5 days,0.0
3281,0.583 x Jupiter,Gas Giant,Transit,0.132 Jupiters,2014,0.336 AU,74.9 days,0.0
3282,0.256 x Jupiter,Gas Giant,Transit,0.153 Jupiters,2014,0.217 AU,38.9 days,0.0
3283,0.209 x Jupiter,Neptune-like,Transit,6.08 Earths,2016,0.0681 AU,6 days,0.0
3284,0.207 x Jupiter,Neptune-like,Transit,5.99 Earths,2016,0.0626 AU,5.7 days,0.0
3285,1.98 x Earth,Super Earth,Transit,4.58 Earths,2016,0.0474 AU,3.8 days,0.0
3286,0.241 x Jupiter,Neptune-like,Transit,7.75 Earths,2016,0.1701 AU,28.3 days,0.0
3287,1.6 x Earth,Super Earth,Transit,3.19 Earths,2016,0.0177 AU,1.2 days,0.0
3288,0.265 x Jupiter,Neptune-like,Transit,9.11 Earths,2016,0.13 AU,22.1 days,0.0
3289,0.227 x Jupiter,Neptune-like,Transit,6.99 Earths,2016,0.3104 AU,82.5 days,0.0
3290,1.53 x Earth,Super Earth,Transit,2.96 Earths,2016,0.0127 AU,0.5 days,0.0
3291,0.232 x Jupiter,Neptune-like,Transit,7.27 Earths,2016,0.0883 AU,9.9 days,0.0
3292,2.21 x Earth,Neptune-like,Transit,5.52 Earths,2016,0.0734 AU,8 days,0.0
3293,0.291 x Jupiter,Neptune-like,Transit,10.7 Earths,2016,0.4238 AU,105.3 days,0.0
3294,0.211 x Jupiter,Neptune-like,Transit,6.17 Earths,2016,0.276 AU,56.4 days,0.0
3295,0.266 x Jupiter,Neptune-like,Transit,9.17 Earths,2016,0.4451 AU,116.3 days,0.0
3296,2.12 x Earth,Neptune-like,Transit,5.14 Earths,2016,0.2327 AU,43 days,0.0
3297,0.201 x Jupiter,Neptune-like,Transit,5.69 Earths,2016,0.1291 AU,15.8 days,0.0
3298,0.206 x Jupiter,Neptune-like,Transit,5.95 Earths,2016,0.0535 AU,4.5 days,0.0
3299,0.238 x Jupiter,Neptune-like,Transit,7.61 Earths,2016,0.1005 AU,11.6 days,0.0
3300,0.267 x Jupiter,Neptune-like,Transit,9.22 Earths,2016,0.2726 AU,49.6 days,0.0
3301,0.234 x Jupiter,Neptune-like,Transit,7.37 Earths,2016,0.162 AU,26.9 days,0.0
3302,0.213 x Jupiter,Neptune-like,Transit,6.3 Earths,2016,0.0723 AU,7.7 days,0.0
3303,0.23 x Jupiter,Neptune-like,Transit,7.18 Earths,2016,0.1192 AU,17.2 days,0.0
3304,0.203 x Jupiter,Neptune-like,Transit,5.77 Earths,2014,0.227 AU,44.8 days,0.0
3305,0.21 x Jupiter,Neptune-like,Transit,6.12 Earths,2014,0.067 AU,7.2 days,0.0
3306,1.52 x Earth,Super Earth,Transit,2.92 Earths,2014,0.05 AU,4.6 days,0.0
3307,0.246 x Jupiter,Neptune-like,Transit,6.2 Earths,2014,0.1201 AU,16.7 days,0.0
3308,0.294 x Jupiter,Neptune-like,Transit,6 Earths,2013,0.0752 AU,8.3 days,0.0
3309,0.321 x Jupiter,Neptune-like,Transit,10.5 Earths,2013,0.0571 AU,5.5 days,0.01
3310,0.245 x Jupiter,Neptune-like,Transit,8 Earths,2014,0.08 AU,9.7 days,0.0
3311,2.17 x Earth,Neptune-like,Transit,5.35 Earths,2014,0.054 AU,5.3 days,0.0
3312,0.255 x Jupiter,Neptune-like,Transit,8.55 Earths,2014,0.039 AU,3.3 days,0.0
3313,1.14 x Earth,Super Earth,Transit,1.55 Earths,2014,0.057 AU,7.1 days,0.0
3314,0.89 x Earth,Terrestrial,Transit,0.64 Earths,2014,0.024 AU,1.9 days,0.0
3315,1.111 x Jupiter,Gas Giant,Transit,Unknown,2014,0.503 AU,127.3 days,0.0
3316,0.362 x Jupiter,Neptune-like,Transit,15.5 Earths,2014,0.193 AU,30.2 days,0.0
3317,1.75 x Earth,Super Earth,Transit,3.71 Earths,2014,0.112 AU,13.8 days,0.0
3318,0.201 x Jupiter,Neptune-like,Transit,5.69 Earths,2014,0.232 AU,40.7 days,0.0
3319,1.87 x Earth,Super Earth,Transit,4.16 Earths,2014,0.22 AU,38.3 days,0.0
3320,0.236 x Jupiter,Neptune-like,Transit,7.51 Earths,2014,0.07 AU,6.9 days,0.0
3321,1.93 x Earth,Super Earth,Transit,4.38 Earths,2014,0.136 AU,22.9 days,0.0
3322,1.8 x Earth,Super Earth,Transit,3.89 Earths,2014,0.255 AU,63.3 days,< 0.33
3323,1.28 x Earth,Super Earth,Transit,2.18 Earths,2016,0.0951 AU,12.4 days,0.0
3324,1.44 x Earth,Super Earth,Transit,2.67 Earths,2016,0.048 AU,5.2 days,0.0
3325,1.54 x Earth,Super Earth,Transit,2.99 Earths,2016,0.1464 AU,19.8 days,0.0
3326,1.5 x Earth,Super Earth,Transit,2.86 Earths,2016,0.0669 AU,6.5 days,0.0
3327,0.56 x Jupiter,Neptune-like,Transit,32.5 Earths,2016,0.0671 AU,5.3 days,0.0
3328,1.78 x Earth,Super Earth,Transit,3.82 Earths,2016,0.0444 AU,3.6 days,0.0
3329,1.71 x Earth,Super Earth,Transit,3.57 Earths,2016,0.0564 AU,4.3 days,0.0
3330,0.281 x Jupiter,Neptune-like,Transit,10.1 Earths,2016,0.1129 AU,14.3 days,0.0
3331,0.425 x Jupiter,Neptune-like,Transit,20.3 Earths,2016,0.5337 AU,120 days,0.0
3332,1.41 x Jupiter,Gas Giant,Transit,0.37 Jupiters,2012,0.0574 AU,4.4 days,0.0
3333,1.41 x Jupiter,Gas Giant,Transit,2.68 Jupiters,2012,0.0521 AU,3.9 days,0.0
3334,0.88 x Jupiter,Gas Giant,Transit,0.55 Jupiters,2012,0.05548 AU,4.3 days,0.0
3335,0.236 x Jupiter,Neptune-like,Transit,7.46 Earths,2016,0.0546 AU,4.8 days,0.0
3336,0.219 x Jupiter,Neptune-like,Transit,6.57 Earths,2016,0.0497 AU,4.3 days,0.0
3337,0.282 x Jupiter,Neptune-like,Transit,10.1 Earths,2016,0.1981 AU,34.2 days,0.0
3338,0.201 x Jupiter,Neptune-like,Transit,5.69 Earths,2016,0.1229 AU,16.5 days,0.0
3339,2.15 x Earth,Neptune-like,Transit,5.27 Earths,2016,0.1247 AU,18.4 days,0.0
3340,0.325 x Jupiter,Neptune-like,Transit,12.9 Earths,2016,0.0501 AU,4.2 days,0.0
3341,0.413 x Jupiter,Neptune-like,Transit,19.4 Earths,2016,0.0484 AU,3.8 days,0.0
3342,0.465 x Jupiter,Neptune-like,Transit,23.7 Earths,2016,0.1333 AU,18 days,0.0
3343,0.239 x Jupiter,Neptune-like,Transit,7.65 Earths,2016,0.0593 AU,5.4 days,0.0
3344,0.621 x Jupiter,Gas Giant,Transit,38.7 Earths,2016,0.2918 AU,58.4 days,0.0
3345,1.72 x Earth,Super Earth,Transit,3.61 Earths,2016,0.0899 AU,18.5 days,0.17
3346,0.211 x Jupiter,Neptune-like,Transit,6.21 Earths,2016,0.1759 AU,29 days,0.0
3347,0.238 x Jupiter,Neptune-like,Transit,7.61 Earths,2016,0.0469 AU,3.7 days,0.0
3348,2.24 x Earth,Neptune-like,Transit,5.65 Earths,2016,0.0973 AU,11.7 days,0.0
3349,0.244 x Jupiter,Neptune-like,Transit,7.9 Earths,2016,0.075 AU,6.9 days,0.0
3350,1.59 x Earth,Super Earth,Transit,3.15 Earths,2016,0.0646 AU,9.5 days,0.0
3351,0.426 x Jupiter,Neptune-like,Transit,20.4 Earths,2016,0.0535 AU,4.3 days,0.0
3352,0.384 x Jupiter,Neptune-like,Transit,17.1 Earths,2016,0.0627 AU,5.6 days,0.0
3353,2.17 x Earth,Neptune-like,Transit,5.35 Earths,2016,0.0598 AU,5.6 days,0.0
3354,0.27 x Jupiter,Neptune-like,Transit,9.43 Earths,2016,0.0897 AU,9.6 days,0.0
3355,0.539 x Jupiter,Neptune-like,Transit,30.4 Earths,2016,0.0457 AU,3.6 days,0.0
3356,0.207 x Jupiter,Neptune-like,Transit,5.99 Earths,2016,0.0747 AU,8.3 days,0.0
3357,1.35 x Jupiter,Gas Giant,Transit,118 Jupiters,2016,0.0439 AU,3 days,0.0
3358,1.73 x Earth,Super Earth,Transit,3.64 Earths,2016,0.0246 AU,1.6 days,0.0
3359,1.46 x Earth,Super Earth,Transit,2.73 Earths,2016,0.0698 AU,7 days,0.0
3360,2.09 x Earth,Neptune-like,Transit,5.02 Earths,2014,0.118 AU,19.9 days,< 0.33
3361,2.0 x Earth,Neptune-like,Transit,4.66 Earths,2014,0.0521 AU,5.8 days,< 0.33
3362,1.61 x Earth,Super Earth,Transit,3.22 Earths,2014,0.079 AU,10.9 days,< 0.33
3363,1.17 x Earth,Super Earth,Transit,1.71 Earths,2014,0.142 AU,21.5 days,0.0
3364,0.242 x Jupiter,Neptune-like,Transit,7.8 Earths,2014,0.071 AU,6.6 days,0.0
3365,1.77 x Earth,Super Earth,Transit,3.78 Earths,2014,0.048 AU,3.7 days,0.0
3366,0.274 x Jupiter,Neptune-like,Transit,9.64 Earths,2014,0.144 AU,19.3 days,0.0
3367,0.21 x Jupiter,Neptune-like,Transit,6.12 Earths,2014,0.141 AU,20.8 days,0.0
3368,0.238 x Jupiter,Neptune-like,Transit,7.61 Earths,2014,0.097 AU,12 days,0.0
3369,1.47 x Earth,Super Earth,Transit,2.76 Earths,2014,0.045 AU,3.7 days,0.0
3370,1.32 x Earth,Super Earth,Transit,2.3 Earths,2014,0.035 AU,2.6 days,0.0
3371,1.88 x Earth,Super Earth,Transit,4.19 Earths,2014,0.065 AU,5.7 days,0.0
3372,1.43 x Jupiter,Gas Giant,Transit,0.97 Jupiters,2012,0.0562 AU,5 days,0.0
3373,1.05 x Jupiter,Gas Giant,Transit,0.644 Jupiters,2012,0.03769 AU,2.8 days,< 0.059
3374,0.94 x Jupiter,Gas Giant,Transit,0.45 Jupiters,2012,0.05614 AU,4.6 days,0.0
3375,1.58 x Jupiter,Gas Giant,Transit,0.59 Jupiters,2012,0.04988 AU,3.7 days,0.07
3376,1.27 x Jupiter,Gas Giant,Transit,0.46 Jupiters,2012,0.0272 AU,1.7 days,0.0
3377,1.166 x Jupiter,Gas Giant,Transit,1.4688 Jupiters,2011,0.0293 AU,2 days,0.01
3378,1.5 x Jupiter,Gas Giant,Transit,0.8 Jupiters,2011,0.03444 AU,2.1 days,0.0
3379,1.147 x Jupiter,Gas Giant,Transit,1.17674 Jupiters,2012,0.052 AU,4.2 days,0.0
3380,1.174 x Jupiter,Gas Giant,Transit,1.91 Jupiters,2011,0.02335 AU,1.4 days,< 0.022
3381,1.1 x Jupiter,Gas Giant,Transit,0.87 Jupiters,2011,0.03453 AU,2.4 days,< 0.068
3382,0.93 x Jupiter,Gas Giant,Transit,1.78 Jupiters,2011,0.0142 AU,0.8 days,0.0
3383,1.122 x Jupiter,Gas Giant,Transit,0.527 Jupiters,2012,0.0561 AU,5 days,0.06
3384,1.332 x Jupiter,Gas Giant,Transit,0.28 Jupiters,2011,0.0486 AU,4.1 days,0.0
3385,1.23 x Jupiter,Gas Giant,Transit,3.44 Jupiters,2010,0.07522 AU,6.9 days,0.03
3386,1.327 x Jupiter,Gas Giant,Transit,2.361 Jupiters,2011,0.02677 AU,1.5 days,< 0.019
3387,1.3 x Jupiter,Gas Giant,Transit,0.71 Jupiters,2011,0.04317 AU,3.2 days,0.0
3388,1.0 x Jupiter,Gas Giant,Transit,0.56 Jupiters,2010,0.0524 AU,4.3 days,0.04
3389,0.96 x Jupiter,Gas Giant,Transit,2.63 Jupiters,2010,0.0394 AU,2.7 days,0.0
3390,1.549 x Jupiter,Gas Giant,Transit,0.478 Jupiters,2010,0.04659 AU,3.4 days,0.0
3391,1.219 x Jupiter,Gas Giant,Transit,0.889 Jupiters,2014,0.0442 AU,3.4 days,0.0
3392,1.21 x Jupiter,Gas Giant,Transit,0.85 Jupiters,2010,0.04 AU,2.8 days,0.0
3393,1.07 x Jupiter,Gas Giant,Transit,0.44 Jupiters,2010,0.0473 AU,3.8 days,0.0
3394,0.241 x Jupiter,Neptune-like,Transit,7.75 Earths,2014,0.205 AU,36.8 days,0.0
3395,0.201 x Jupiter,Neptune-like,Transit,5.69 Earths,2014,0.11 AU,14.6 days,0.0
3396,0.27 x Jupiter,Neptune-like,Transit,5.33 Earths,2014,0.33 AU,66 days,
3397,0.222 x Jupiter,Neptune-like,Transit,3.7 Earths,2014,0.21 AU,34.5 days,0.0
3398,0.238 x Jupiter,Neptune-like,Transit,7.61 Earths,2014,0.287 AU,56.6 days,0.0
3399,0.254 x Jupiter,Neptune-like,Transit,8.5 Earths,2014,0.14 AU,19.3 days,0.0
3400,1.67 x Earth,Super Earth,Transit,3.43 Earths,2014,0.065 AU,6.1 days,0.0
3401,0.208 x Jupiter,Neptune-like,Transit,6.04 Earths,2014,0.145 AU,20.3 days,0.0
3402,1.77 x Earth,Super Earth,Transit,3.78 Earths,2014,0.176 AU,29.2 days,0.0
3403,1.33 x Earth,Super Earth,Transit,2.33 Earths,2014,0.061 AU,5.9 days,0.0
3404,1.24 x Earth,Super Earth,Transit,2.07 Earths,2014,0.027 AU,1.8 days,0.0
3405,1.12 x Earth,Super Earth,Transit,1.46 Earths,2014,0.064 AU,6.2 days,0.0
3406,0.796 x Jupiter,Gas Giant,Transit,0.186 Jupiters,2016,0.0516 AU,4.2 days,0.0
3407,1.039 x Jupiter,Gas Giant,Transit,Unknown,2016,0.0453 AU,3.3 days,0.0
3408,0.689 x Jupiter,Gas Giant,Transit,0.145 Jupiters,2016,0.1209 AU,17.3 days,0.0
3409,0.239 x Jupiter,Neptune-like,Transit,7.65 Earths,2016,0.2141 AU,38.7 days,0.0
3410,1.019 x Jupiter,Gas Giant,Transit,Unknown,2016,0.1157 AU,15.4 days,0.0
3411,1.286 x Jupiter,Gas Giant,Transit,112 Jupiters,2016,0.0433 AU,3.2 days,0.0
3412,0.203 x Jupiter,Neptune-like,Transit,5.82 Earths,2016,0.0896 AU,10 days,0.0
3413,0.286 x Jupiter,Neptune-like,Transit,10.4 Earths,2016,0.2072 AU,30.2 days,0.0
3414,0.211 x Jupiter,Neptune-like,Transit,6.17 Earths,2016,0.2537 AU,56.4 days,0.0
3415,0.223 x Jupiter,Neptune-like,Transit,6.8 Earths,2016,0.0894 AU,10.1 days,0.0
3416,0.248 x Jupiter,Neptune-like,Transit,8.15 Earths,2016,0.0605 AU,4.9 days,0.0
3417,2.12 x Earth,Neptune-like,Transit,5.14 Earths,2016,0.0994 AU,12.5 days,0.0
3418,0.242 x Jupiter,Neptune-like,Transit,7.8 Earths,2016,0.1032 AU,13.2 days,0.0
3419,2.07 x Earth,Super Earth,Transit,4.94 Earths,2016,0.0911 AU,11.1 days,0.0
3420,0.275 x Jupiter,Neptune-like,Transit,9.69 Earths,2016,0.1126 AU,14 days,0.0
3421,0.222 x Jupiter,Neptune-like,Transit,6.76 Earths,2016,0.0399 AU,3.1 days,0.0
3422,0.273 x Jupiter,Neptune-like,Transit,9.59 Earths,2016,0.0606 AU,5.7 days,0.0
3423,0.364 x Jupiter,Neptune-like,Transit,15.6 Earths,2016,0.1186 AU,14.6 days,0.0
3424,0.287 x Jupiter,Neptune-like,Transit,10.5 Earths,2016,0.0483 AU,4.2 days,0.0
3425,1.335 x Jupiter,Gas Giant,Transit,117 Jupiters,2016,0.0626 AU,5 days,0.0
3426,1.19 x Jupiter,Gas Giant,Transit,Unknown,2016,0.2213 AU,38.5 days,0.0
3427,0.201 x Jupiter,Neptune-like,Transit,5.69 Earths,2016,0.1651 AU,25 days,0.0
3428,1.25 x Earth,Super Earth,Transit,2.1 Earths,2016,0.0465 AU,3.7 days,0.0
3429,0.254 x Jupiter,Neptune-like,Transit,8.5 Earths,2016,0.2671 AU,51.1 days,0.0
3430,1.04 x Jupiter,Gas Giant,Transit,5.9 Jupiters,2015,0.0427 AU,3.4 days,0.19
3431,0.89 x Jupiter,Gas Giant,Transit,0.81 Jupiters,2007,0.0464 AU,3.9 days,0.0
3432,1.23 x Jupiter,Gas Giant,Transit,1.1 Jupiters,2015,0.154 AU,17.9 days,0.34
3433,1.65 x Jupiter,Gas Giant,Transit,1.37 Jupiters,2015,0.0769 AU,7.8 days,0.12
3434,1.35 x Earth,Super Earth,Transit,2.39 Earths,2015,0.0403 AU,5.1 days,0.0
3435,1.25 x Earth,Super Earth,Transit,2.1 Earths,2015,0.0439 AU,8.2 days,0.0
3436,1.58 x Earth,Super Earth,Transit,3.12 Earths,2015,0.0217 AU,3 days,0.0
3437,0.741 x Earth,Terrestrial,Transit,0.332 Earths,2015,0.0811 AU,9.7 days,0.29
3438,0.497 x Earth,Terrestrial,Transit,0.0793 Earths,2015,0.04881 AU,4.5 days,0.31
3439,0.403 x Earth,Terrestrial,Transit,0.0374 Earths,2015,0.04178 AU,3.6 days,0.16
3440,1.34 x Earth,Super Earth,Transit,2.36 Earths,2014,0.036 AU,2.6 days,0.0
3441,2.24 x Earth,Neptune-like,Transit,5.65 Earths,2014,0.104 AU,12.7 days,0.0
3442,1.82 x Earth,Super Earth,Transit,3.97 Earths,2014,0.341 AU,92.7 days,0.0
3443,2.13 x Earth,Neptune-like,Transit,5.18 Earths,2014,0.082 AU,11 days,0.0
3444,2.46 x Earth,Super Earth,Transit,0.192 Jupiters,2013,0.154 AU,24.8 days,0.0
3445,1.2 x Earth,Super Earth,Transit,1.87 Earths,2014,0.106 AU,13.6 days,0.0
3446,1.01 x Earth,Super Earth,Transit,1.01 Earths,2014,0.082 AU,9.2 days,0.0
3447,0.252 x Jupiter,Neptune-like,Transit,8.35 Earths,2014,0.117 AU,14.6 days,0.0
3448,2.01 x Earth,Super Earth,Transit,4.7 Earths,2014,0.056 AU,4.8 days,0.0
3449,1.45 x Earth,Super Earth,Transit,2.7 Earths,2014,0.032 AU,2.1 days,0.0
3450,0.384 x Jupiter,Gas Giant,Transit,0.155 Jupiters,2013,0.2236 AU,35.7 days,0.0
3451,0.323 x Jupiter,Neptune-like,Transit,12.8 Earths,2014,0.112 AU,12.3 days,0.0
3452,0.32 x Jupiter,Neptune-like,Transit,12.6 Earths,2014,0.294 AU,51.1 days,0.51
3453,0.3 x Jupiter,Gas Giant,Transit,0.202 Jupiters,2013,0.2129 AU,33 days,0.0
3454,0.261 x Jupiter,Gas Giant,Transit,0.275 Jupiters,2013,0.1385 AU,17.3 days,0.0
3455,2.9 x Earth,Super Earth,Transit,16.6 Earths,2013,0.1994 AU,31.9 days,0.0
3456,0.256 x Jupiter,Neptune-like,Transit,8.6 Earths,2014,0.119 AU,14.1 days,0.0
3457,0.297 x Jupiter,Neptune-like,Transit,11.1 Earths,2014,0.224 AU,35.7 days,0.0
3458,0.302 x Jupiter,Neptune-like,Transit,11.4 Earths,2014,0.132 AU,16.1 days,0.0
3459,0.209 x Jupiter,Neptune-like,Transit,6.08 Earths,2014,0.098 AU,10.3 days,0.0
3460,1.84 x Earth,Super Earth,Transit,4.04 Earths,2014,0.204 AU,33.2 days,0.0
3461,1.54 x Earth,Super Earth,Transit,2.99 Earths,2014,0.101 AU,11.6 days,0.0
3462,1.98 x Earth,Super Earth,Transit,4.58 Earths,2014,0.073 AU,8 days,0.0
3463,1.5 x Earth,Super Earth,Transit,2.86 Earths,2014,0.037 AU,2.9 days,0.0
3464,0.201 x Jupiter,Neptune-like,Transit,5.69 Earths,2014,0.091 AU,10.9 days,0.0
3465,1.79 x Earth,Super Earth,Transit,0.308 Jupiters,2014,0.061 AU,6.1 days,0.0
3466,1.04 x Jupiter,Gas Giant,Transit,0.3 Jupiters,2015,0.059 AU,5 days,0.0
3467,1.36 x Jupiter,Gas Giant,Transit,0.72 Jupiters,2015,0.03443 AU,2.1 days,0.0
3468,0.788 x Earth,Terrestrial,Transit,0.388 Earths,2016,0.02227 AU,4 days,0.01
3469,1.097 x Earth,Super Earth,Transit,1.308 Earths,2016,0.0158 AU,2.4 days,0.01
3470,1.116 x Earth,Super Earth,Transit,1.374 Earths,2016,0.01154 AU,1.5 days,0.01
3471,2.067 x Earth,Super Earth,Transit,11.86668 Earths,2015,0.286661 AU,49.4 days,0.07
3472,0.806 x Jupiter,Gas Giant,Transit,0.189 Jupiters,2016,0.0493 AU,4 days,0.0
3473,0.914 x Jupiter,Gas Giant,Transit,0.234 Jupiters,2016,0.0895 AU,10.5 days,0.0
3474,0.367 x Jupiter,Neptune-like,Transit,15.8 Earths,2016,0.0888 AU,8.6 days,0.0
3475,2.14 x Earth,Neptune-like,Transit,5.22 Earths,2016,0.1439 AU,19.1 days,0.0
3476,0.317 x Jupiter,Neptune-like,Transit,12.3 Earths,2016,0.1024 AU,10.1 days,0.0
3477,0.241 x Jupiter,Neptune-like,Transit,7.75 Earths,2016,0.1583 AU,23.6 days,0.0
3478,1.93 x Earth,Super Earth,Transit,4.38 Earths,2016,0.055 AU,4.6 days,0.0
3479,1.46 x Earth,Super Earth,Transit,2.73 Earths,2016,0.0116 AU,0.6 days,0.0
3480,0.263 x Jupiter,Neptune-like,Transit,9.01 Earths,2016,0.0953 AU,9.9 days,0.0
3481,0.294 x Jupiter,Neptune-like,Transit,10.9 Earths,2016,0.0765 AU,7.3 days,0.0
3482,0.272 x Jupiter,Neptune-like,Transit,9.53 Earths,2016,0.078 AU,9 days,0.0
3483,0.268 x Jupiter,Gas Giant,Transit,0.16959 Jupiters,2016,0.4172 AU,84.7 days,0.04
3484,0.23 x Jupiter,Neptune-like,Transit,7.18 Earths,2016,0.0821 AU,8.3 days,0.0
3485,0.553 x Jupiter,Neptune-like,Transit,16 Earths,2015,0.7903 AU,240.5 days,0.04
3486,1.63 x Earth,Super Earth,Transit,3.29 Earths,2015,1.046 AU,384.8 days,0.0
3487,0.837 x Earth,Super Earth,Transit,17.6 Earths,2015,0.082 AU,7.5 days,0.14
3488,1.11 x Earth,Super Earth,Transit,1.41 Earths,2015,0.0283 AU,3 days,0.0
3489,0.22 x Jupiter,Neptune-like,Transit,6.85 Earths,2015,0.0301 AU,4.9 days,0.0
3490,0.546 x Earth,Terrestrial,Transit,0.1 Earths,2015,0.0696 AU,7.7 days,0.1
3491,1.18 x Jupiter (estimate),Gas Giant,Radial Velocity,2.43 Jupiters,2015,Unknown,406.2 days,0.5
3492,1.67 x Earth,Super Earth,Transit,3.43 Earths,2014,0.051 AU,4.2 days,0.0
3493,0.268 x Jupiter,Neptune-like,Transit,7.81 Earths,2011,0.0965 AU,10.7 days,0.02
3494,2.0 x Earth,Super Earth,Transit,4.66 Earths,2014,0.132 AU,24 days,0.0
3495,1.28 x Earth,Super Earth,Transit,2.18 Earths,2014,0.065 AU,7.8 days,0.0
3496,0.242 x Jupiter,Neptune-like,Transit,7.8 Earths,2014,0.287 AU,60.4 days,0.0
3497,1.73 x Earth,Super Earth,Transit,35.4 Earths,2014,0.074 AU,10.1 days,0.0
3498,0.439 x Jupiter,Neptune-like,Transit,21.5 Earths,2014,0.117 AU,16.1 days,0.0
3499,1.53 x Earth,Super Earth,Transit,2.96 Earths,2014,0.038 AU,2.6 days,0.0
3500,2.27 x Earth,Super Earth,Transit,0.142 Jupiters,2014,0.058 AU,5.3 days,0.0
3501,1.6 x Jupiter,Gas Giant,Transit,1.39 Jupiters,2015,0.04415 AU,2.7 days,0.0
3502,1.227 x Jupiter,Gas Giant,Transit,1.698 Jupiters,2016,0.0442 AU,3 days,0.0
3503,0.777 x Jupiter,Gas Giant,Transit,1.338 Jupiters,2016,0.1308 AU,16.3 days,0.03
3504,1.51 x Jupiter,Gas Giant,Transit,2.31 Jupiters,2015,0.0423 AU,2.8 days,< 0.29
3505,1.324 x Jupiter,Gas Giant,Transit,0.596 Jupiters,2015,0.04628 AU,3.6 days,< 0.17
3506,1.14 x Jupiter,Gas Giant,Transit,1.19 Jupiters,2008,0.0515 AU,4.2 days,0.0
3507,1.41 x Jupiter,Gas Giant,Transit,7.29 Jupiters,2007,0.0476 AU,3.2 days,0.29
3508,1.14 x Earth,Super Earth,Transit,1.55 Earths,2016,0.0764 AU,8.1 days,0.0
3509,0.258 x Jupiter,Neptune-like,Transit,8.7 Earths,2016,0.1978 AU,30.9 days,0.0
3510,1.94 x Earth,Super Earth,Transit,4.42 Earths,2016,0.1137 AU,14.4 days,0.0
3511,0.338 x Jupiter,Neptune-like,Transit,13.8 Earths,2016,0.2678 AU,50.3 days,0.0
3512,0.316 x Jupiter,Neptune-like,Transit,12.3 Earths,2016,0.2265 AU,40.1 days,0.0
3513,2.0 x Earth,Super Earth,Transit,4.66 Earths,2016,0.0795 AU,11.4 days,0.0
3514,0.614 x Jupiter,Neptune-like,Transit,37.9 Earths,2016,0.5167 AU,133.5 days,0.0
3515,0.213 x Jupiter,Neptune-like,Transit,6.3 Earths,2016,0.1174 AU,13.7 days,0.0
3516,2.17 x Earth,Neptune-like,Transit,5.35 Earths,2016,0.181 AU,27.1 days,0.0
3517,1.68 x Earth,Super Earth,Transit,3.46 Earths,2016,0.1817 AU,29.6 days,0.0
3518,2.11 x Earth,Neptune-like,Transit,5.1 Earths,2016,0.1036 AU,11.1 days,0.0
3519,1.37 x Earth,Super Earth,Transit,2.45 Earths,2016,0.0491 AU,4.2 days,0.0
3520,1.96 x Earth,Super Earth,Transit,4.5 Earths,2016,0.0988 AU,11.3 days,0.0
3521,2.18 x Earth,Neptune-like,Transit,5.39 Earths,2016,0.101 AU,13.7 days,0.0
3522,2.12 x Earth,Neptune-like,Transit,5.14 Earths,2016,0.0951 AU,8.6 days,0.0
3523,0.227 x Jupiter,Neptune-like,Transit,7.04 Earths,2016,0.0835 AU,8.4 days,0.0
3524,1.28 x Earth,Super Earth,Transit,2.18 Earths,2016,0.0159 AU,0.9 days,0.0
3525,1.162 x Jupiter,Gas Giant,Transit,Unknown,2016,0.025 AU,2 days,0.0
3526,1.58 x Earth,Super Earth,Transit,3.12 Earths,2016,0.1967 AU,31.6 days,0.0
3527,2.62 x Earth,Super Earth,Transit,12.5 Earths,2015,0.1324 AU,15.4 days,0.02
3528,0.548 x Jupiter,Neptune-like,Transit,19.4 Earths,2015,0.1993 AU,28.5 days,0.02
3529,0.247 x Jupiter,Neptune-like,Transit,8.07 Earths,2015,0.1979 AU,33.7 days,0.05
3530,2.056 x Earth,Super Earth,Transit,4.88 Earths,2015,0.1027 AU,12.6 days,0.03
3531,1.43 x Earth,Super Earth,Transit,0.245 Jupiters,2014,0.038 AU,3 days,0.0
3532,0.95 x Earth,Terrestrial,Transit,0.809 Earths,2014,0.0702 AU,7.4 days,0.0
3533,1.23 x Earth,Super Earth,Transit,2.04 Earths,2014,0.0881 AU,10.4 days,0.0
3534,1.77 x Earth,Super Earth,Transit,3.78 Earths,2014,0.18 AU,25.3 days,0.0
3535,2.01 x Earth,Super Earth,Transit,4.7 Earths,2014,0.107 AU,11.5 days,0.0
3536,0.22 x Jupiter,Neptune-like,Transit,6.66 Earths,2014,0.061 AU,5.3 days,0.0
3537,0.302 x Jupiter,Neptune-like,Transit,11.4 Earths,2014,0.391 AU,83.4 days,0.0
3538,0.227 x Jupiter,Neptune-like,Transit,7.04 Earths,2014,0.18 AU,25.9 days,0.0
3539,0.203 x Jupiter,Neptune-like,Transit,5.77 Earths,2014,0.154 AU,28.5 days,0.0
3540,1.98 x Earth,Super Earth,Transit,37.9 Earths,2014,0.037 AU,3.4 days,0.0
3541,0.347 x Jupiter,Neptune-like,Transit,14.4 Earths,2014,0.457 AU,107.7 days,0.0
3542,0.221 x Jupiter,Neptune-like,Transit,6.71 Earths,2014,0.071 AU,6.6 days,0.0
3543,0.222 x Jupiter,Neptune-like,Transit,6.76 Earths,2014,0.236 AU,43.1 days,0.0
