id,planet_radius,planet_type,discovery_Method,planet_mass,discovery_date,orbital_radius,orbital_period,eccentricity
5186,1.18 x Jupiter (estimate),Gas Giant,Transit Timing Variations,2.4 Jupiters,2016,2.42 AU,2.7 years,0.5
5187,1.23 x Earth,Super Earth,Transit,2.04 Earths,2016,0.0295 AU,4.5 days,0.0
5188,1.78 x Earth,Super Earth,Transit,3.82 Earths,2016,0.1285 AU,16.2 days,0.0
5189,1.88 x Earth,Super Earth,Transit,4.19 Earths,2016,0.142 AU,21.1 days,0.0
5190,0.207 x Jupiter,Neptune-like,Transit,5.99 Earths,2016,0.0531 AU,5.3 days,0.0
5191,0.237 x Jupiter,Neptune-like,Transit,7.56 Earths,2016,0.0678 AU,6.7 days,0.0
5192,0.285 x Jupiter,Neptune-like,Transit,10.3 Earths,2016,0.1016 AU,12.2 days,0.0
5193,0.263 x Jupiter,Neptune-like,Transit,9.01 Earths,2016,0.2065 AU,32.7 days,0.0
5194,0.277 x Jupiter,Neptune-like,Transit,9.85 Earths,2016,0.1473 AU,19.7 days,0.0
5195,0.43 x Jupiter,Neptune-like,Transit,20.7 Earths,2016,0.0836 AU,7.6 days,0.0
5196,0.23 x Jupiter,Neptune-like,Transit,7.18 Earths,2016,0.0932 AU,9.9 days,0.0
5197,1.87 x Earth,Super Earth,Transit,4.16 Earths,2016,0.745 AU,259.3 days,0.0
5198,0.89 x Earth,Terrestrial,Transit,0.64 Earths,2016,0.0596 AU,6.1 days,0.0
5199,0.288 x Jupiter,Neptune-like,Transit,10.5 Earths,2016,1.1546 AU,425.5 days,0.0
5200,0.325 x Jupiter,Neptune-like,Transit,12.9 Earths,2016,1.117 AU,469.6 days,0.0
5201,0.285 x Jupiter,Neptune-like,Transit,10.3 Earths,2016,1.0525 AU,374.9 days,0.0
5202,1.58 x Earth,Super Earth,Transit,3.12 Earths,2016,0.3875 AU,186.4 days,0.0
5203,0.22 x Jupiter,Neptune-like,Transit,6.66 Earths,2016,0.6762 AU,448.3 days,0.0
5204,1.35 x Earth,Super Earth,Transit,2.39 Earths,2016,0.0511 AU,4.1 days,0.0
5205,2.19 x Earth,Neptune-like,Transit,5.43 Earths,2016,1.1218 AU,1.4 years,0.0
5206,0.77 x Earth,Terrestrial,Transit,0.381 Earths,2016,0.0485 AU,3.9 days,0.0
5207,0.574 x Jupiter,Neptune-like,Transit,33.8 Earths,2016,0.2952 AU,76.4 days,0.0
5208,0.329 x Jupiter,Neptune-like,Transit,13.2 Earths,2016,0.0643 AU,7.2 days,0.0
5209,2.02 x Earth,Super Earth,Transit,4.74 Earths,2016,0.0537 AU,4.1 days,0.0
