id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink
154,TOI-1410.01,72.7512,12.5 Earths,11.111,2024,https://science.nasa.gov/exoplanet-catalog/toi-1410-01/
155,TOI-907.01,312.529,0.211 Jupiters,10.394,2024,https://science.nasa.gov/exoplanet-catalog/toi-907-01/
156,TOI-880.02,60.6679,8.14 Earths,10.104,2024,https://science.nasa.gov/exoplanet-catalog/toi-880-02/
157,TOI-261.01,114.495,9.51 Earths,9.56,2024,https://science.nasa.gov/exoplanet-catalog/toi-261-01/
158,TOI-128.01,68.4727,5.56 Earths,8.44,2024,https://science.nasa.gov/exoplanet-catalog/toi-128-01/
159,TOI-654.01,57.7553,6.22 Earths,14.54,2024,https://science.nasa.gov/exoplanet-catalog/toi-654-01/
160,TOI-406.01,31.0597,4.5 Earths,13.773,2024,https://science.nasa.gov/exoplanet-catalog/toi-406-01/
161,OGLE-2023-BLG-0836L b,5120,4.36 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/ogle-2023-blg-0836l-b/
162,TOI-1450 A c,22.4467,1.527 Earths,12.28,2024,https://science.nasa.gov/exoplanet-catalog/toi-1450-a-c/
163,TIC 393818343 b,93.7345,4.34 Jupiters,9.48,2024,https://science.nasa.gov/exoplanet-catalog/tic-393818343-b/
164,TOI-2447 b,148.987,0.393 Jupiters,10.507,2024,https://science.nasa.gov/exoplanet-catalog/toi-2447-b/
165,TOI-1450 A b,22.4467,1.258 Earths,12.28,2024,https://science.nasa.gov/exoplanet-catalog/toi-1450-a-b/
166,HD 73344 b,35.26,10.48 Earths,6.89351,2024,https://science.nasa.gov/exoplanet-catalog/hd-73344-b/
167,TOI-2015 b,47.3444,16.4 Earths,16.11,2023,https://science.nasa.gov/exoplanet-catalog/toi-2015-b/
168,TOI-6086 b,31.4566,1.76 Earths,14.981,2024,https://science.nasa.gov/exoplanet-catalog/toi-6086-b/
169,TOI-6008 b,23.1008,4 Earths,15.97,2024,https://science.nasa.gov/exoplanet-catalog/toi-6008-b/
170,TOI-5720 b,35.8256,4.3 Earths,13.847,2024,https://science.nasa.gov/exoplanet-catalog/toi-5720-b/
171,GJ 900 b,20.8065,11 Jupiters,9.59,2024,https://science.nasa.gov/exoplanet-catalog/gj-900-b/
172,UCAC4 328-061594 b,39.9089,21 Jupiters,15.689,2024,https://science.nasa.gov/exoplanet-catalog/ucac4-328-061594-b/
173,UCAC3 113-933 b,52.5829,21 Jupiters,12.501,2024,https://science.nasa.gov/exoplanet-catalog/ucac3-113-933-b/
174,Gliese 12 b,12.21,3.87 Earths,12.6,2024,https://science.nasa.gov/exoplanet-catalog/gliese-12-b/
175,SPECULOOS-3 b,6792.0363261718,0.894 Earths,17.8,2024,https://science.nasa.gov/exoplanet-catalog/speculoos-3-b/
176,TOI-4633 c,95.2016,0.387 Jupiters,9.017,2024,https://science.nasa.gov/exoplanet-catalog/toi-4633-c/
177,2MASS J0249-0557 c,66.0613,11.6 Jupiters,18.3,2018,https://science.nasa.gov/exoplanet-catalog/2mass-j0249-0557-c/
178,TOI-815 c,59.7117,23.5 Earths,10.217,2024,https://science.nasa.gov/exoplanet-catalog/toi-815-c/
179,TOI-815 b,59.7117,7.6 Earths,10.217,2024,https://science.nasa.gov/exoplanet-catalog/toi-815-b/
180,TOI-4559 b,31.6354,2.59 Earths,13.115,2024,https://science.nasa.gov/exoplanet-catalog/toi-4559-b/
181,TOI-1739 b,70.9819,3.52 Earths,10.692,2024,https://science.nasa.gov/exoplanet-catalog/toi-1739-b/
182,Kepler-1660 AB b,1188.54,4.992 Jupiters,13.595,2023,https://science.nasa.gov/exoplanet-catalog/kepler-1660-ab-b/
183,ITG 15 b,136.37,21 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/itg-15-b/
184,TIC 139270665 c,189.875,4.89 Jupiters,10.385,2024,https://science.nasa.gov/exoplanet-catalog/tic-139270665-c/
185,TIC 139270665 b,189.875,0.463 Jupiters,10.385,2024,https://science.nasa.gov/exoplanet-catalog/tic-139270665-b/
186,HIP 77900 b,150.862,21 Jupiters,6.15,2024,https://science.nasa.gov/exoplanet-catalog/hip-77900-b/
187,2MASS J11011926-7732383 b,Unknown,28 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/2mass-j11011926-7732383-b/
188,G 196-3 b,21.7912,26 Jupiters,11.672,2024,https://science.nasa.gov/exoplanet-catalog/g-196-3-b/
189,2MASS J03590986+2009361 b,117.435,18 Jupiters,Unknown,2024,https://science.nasa.gov/exoplanet-catalog/2mass-j035909862009361-b/
190,2MASS J21252752-8138278 b,34.1154,12 Jupiters,11.804,2024,https://science.nasa.gov/exoplanet-catalog/2mass-j21252752-8138278-b/
191,2MASS J11550485-7919108 b,100.862,20 Jupiters,16.957,2024,https://science.nasa.gov/exoplanet-catalog/2mass-j11550485-7919108-b/
192,TOI-4336 A b,22.5455,5.14 Earths,13.6,2024,https://science.nasa.gov/exoplanet-catalog/toi-4336-a-b/
